"","title","year","length","budget","rating","votes","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Lengua de las mariposas, La 1999","Lengua de las mariposas, La","1999","96",NA,"7.3","1258","R","0","0","0","1","0","0","0"
"Leo 2002","Leo","2002","103",NA,"6.4","137","R","0","0","0","1","0","0","0"
"Let the Devil Wear Black 1999","Let the Devil Wear Black","1999","91",NA,"5.2","175","R","0","0","0","1","0","0","0"
"Levity 2003","Levity","2003","100","7500000","6.4","1459","R","0","0","0","1","0","0","0"
"Ley de Herodes, La 1999","Ley de Herodes, La","1999","120",NA,"8.3","368","R","0","0","1","0","0","0","0"
"Liam 2000","Liam","2000","90",NA,"6.9","741","R","0","0","0","1","0","0","0"
"Liberty Stands Still 2002","Liberty Stands Still","2002","92","11000000","5.6","1560","R","0","0","0","1","0","0","0"
"Life 1999","Life","1999","108","75000000","5.8","4857","R","0","0","1","1","0","0","0"
"Life Aquatic with Steve Zissou, The 2004","Life Aquatic with Steve Zissou, The","2004","118","25000000","7.3","9170","R","0","0","1","1","0","0","0"
"Life Before This, The 1999","Life Before This, The","1999","92",NA,"6.1","202","R","1","0","0","1","0","0","0"
"Life Without Dick 2001","Life Without Dick","2001","97",NA,"4.1","404","PG-13","0","0","1","0","0","1","0"
"Life as a House 2001","Life as a House","2001","127","18000000","7.5","7696","R","0","0","1","1","0","0","0"
"Life of David Gale, The 2003","Life of David Gale, The","2003","130","50000000","7.1","10580","R","0","0","0","1","0","0","0"
"Life or Something Like It 2002","Life or Something Like It","2002","105",NA,"5.7","3620","PG-13","0","0","1","0","0","1","0"
"Light It Up 1999","Light It Up","1999","99","13000000","5.7","856","R","0","0","0","1","0","0","0"
"Like Mike 2002","Like Mike","2002","99","30000000","4.9","1484","PG","0","0","1","0","0","0","0"
"Lilja 4-ever 2002","Lilja 4-ever","2002","109",NA,"8.0","4631","R","0","0","0","1","0","0","0"
"Lilo & Stitch 2002","Lilo & Stitch","2002","86","80000000","7.3","10944","PG","0","1","1","1","0","0","0"
"Limbo 1999","Limbo","1999","126","8300000","7.1","2063","R","0","0","0","1","0","0","0"
"Limey, The 1999","Limey, The","1999","89","9000000","7.2","7732","R","0","0","0","1","0","0","0"
"List, The 2000","List, The","2000","93",NA,"5.0","113","R","0","0","0","0","0","0","0"
"Little Black Book 2004","Little Black Book","2004","111","35000000","4.7","1894","PG-13","0","0","1","1","0","1","0"
"Little Nicky 2000","Little Nicky","2000","90","80000000","4.9","9485","PG-13","0","0","1","0","0","1","0"
"Little Secrets 2001","Little Secrets","2001","97","2500000","6.9","457","PG","0","0","0","1","0","0","0"
"Little Vampire, The 2000","Little Vampire, The","2000","91","22000000","5.6","601","PG","0","0","1","0","0","0","0"
"Live Forever 2003","Live Forever","2003","82",NA,"6.8","233","R","0","0","0","0","1","0","0"
"Lizzie McGuire Movie, The 2003","Lizzie McGuire Movie, The","2003","94","17000000","5.0","2541","PG","0","0","1","0","0","0","0"
"Lloyd 2001","Lloyd","2001","74",NA,"5.0","149","PG","0","0","1","1","0","0","0"
"Lockdown 2000","Lockdown","2000","105",NA,"5.9","220","R","0","0","0","1","0","0","0"
"Lone Hero 2002","Lone Hero","2002","90",NA,"4.9","216","R","0","0","0","0","0","0","0"
"Lone Star State of Mind 2002","Lone Star State of Mind","2002","88",NA,"5.6","514","PG-13","0","0","1","0","0","0","0"
"Long Time Dead 2002","Long Time Dead","2002","95",NA,"4.9","1215","R","0","0","0","0","0","0","0"
"Longshot 2000","Longshot","2000","93",NA,"2.4","316","PG-13","0","0","0","1","0","0","0"
"Looking for an Echo 2000","Looking for an Echo","2000","97",NA,"6.1","105","R","0","0","0","1","0","0","0"
"Looney Tunes: Back in Action 2003","Looney Tunes: Back in Action","2003","91","80000000","6.1","2559","PG","1","1","1","0","0","0","0"
"Lord of the Rings: The Fellowship of the Ring, The 2001","Lord of the Rings: The Fellowship of the Ring, The","2001","208","93000000","8.8","157608","PG-13","1","0","0","0","0","0","0"
"Lord of the Rings: The Return of the King, The 2003","Lord of the Rings: The Return of the King, The","2003","251","94000000","9.0","103631","PG-13","1","0","0","0","0","0","0"
"Lord of the Rings: The Two Towers, The 2002","Lord of the Rings: The Two Towers, The","2002","223","94000000","8.8","114797","PG-13","1","0","0","0","0","0","0"
"Loser 2000","Loser","2000","92","20000000","5.1","5152","PG-13","0","0","1","0","0","1","0"
"Loss of Sexual Innocence, The 1999","Loss of Sexual Innocence, The","1999","106","4000000","5.3","977","R","0","0","0","1","0","0","0"
"Lost In La Mancha 2002","Lost In La Mancha","2002","89",NA,"7.4","2112","R","0","0","0","0","1","0","0"
"Lost Junction 2003","Lost Junction","2003","95",NA,"5.1","203","R","0","0","0","1","0","1","0"
"Lost Skeleton of Cadavra, The 2001","Lost Skeleton of Cadavra, The","2001","90",NA,"6.7","717","PG","0","0","1","0","0","0","0"
"Lost Son, The 1999","Lost Son, The","1999","102",NA,"6.7","396","R","0","0","0","1","0","0","0"
"Lost Souls 2000","Lost Souls","2000","97","28000000","4.6","3423","R","0","0","0","0","0","0","0"
"Lost and Delirious 2001","Lost and Delirious","2001","103",NA,"7.0","2917","R","0","0","0","1","0","1","0"
"Lost in Translation 2003","Lost in Translation","2003","102","4000000","8.0","42450","R","0","0","1","1","0","0","0"
"Lot Like Love, A 2005","Lot Like Love, A","2005","107","30000000","4.6","786","PG-13","0","0","1","1","0","1","0"
"Love & Basketball 2000","Love & Basketball","2000","124","15000000","6.7","2093","PG-13","0","0","0","1","0","1","0"
"Love Actually 2003","Love Actually","2003","129",NA,"7.7","21918","R","0","0","1","1","0","1","0"
"Love Don't Cost a Thing 2003","Love Don't Cost a Thing","2003","100",NA,"4.1","689","PG-13","0","0","1","1","0","1","0"
"Love In the Time of Money 2002","Love In the Time of Money","2002","90",NA,"5.5","138","R","0","0","1","1","0","0","0"
"Love Letter, The 1999","Love Letter, The","1999","88","15000000","5.2","1258","PG-13","0","0","1","1","0","0","0"
"Love Liza 2002","Love Liza","2002","90","1000000","6.6","1588","R","0","0","0","1","0","0","0"
"Love Object 2003","Love Object","2003","88","1000000","6.3","427","R","0","0","1","0","0","0","0"
"Love Song for Bobby Long, A 2004","Love Song for Bobby Long, A","2004","119",NA,"6.7","721","R","0","0","0","1","0","0","0"
"Love Stinks 1999","Love Stinks","1999","94","4000000","5.3","1311","R","0","0","1","0","0","0","0"
"Love and a Bullet 2002","Love and a Bullet","2002","85",NA,"5.2","288","R","1","0","0","0","0","0","0"
"Love the Hard Way 2001","Love the Hard Way","2001","104",NA,"6.1","400","R","0","0","0","1","0","1","0"
"Love's Labour's Lost 2000","Love's Labour's Lost","2000","93","13000000","5.9","1254","PG","0","0","1","0","0","1","0"
"Love, Honour and Obey 2000","Love, Honour and Obey","2000","103",NA,"6.0","851","R","0","0","1","1","0","0","0"
"Love, Sex and Eating the Bones 2003","Love, Sex and Eating the Bones","2003","100",NA,"5.7","211","R","0","0","1","0","0","1","0"
"Lovely & Amazing 2001","Lovely & Amazing","2001","91","250000","6.9","1813","R","0","0","1","1","0","0","0"
"Loving Jezebel 1999","Loving Jezebel","1999","87",NA,"4.2","105","R","0","0","1","0","0","1","0"
"Luck of the Draw 2000","Luck of the Draw","2000","101",NA,"4.6","178","R","0","0","0","1","0","0","0"
"Lucky 2002","Lucky","2002","83",NA,"6.2","110","R","0","0","1","0","0","0","0"
"Lucky 13 2004","Lucky 13","2004","95","1200000","5.7","151","R","0","0","1","0","0","1","0"
"Lucky Break 2001","Lucky Break","2001","108","6000000","6.3","707","PG-13","0","0","1","0","0","0","0"
"Lucky Numbers 2000","Lucky Numbers","2000","105","65000000","5.0","2396","R","0","0","1","0","0","0","0"
"Luckytown 2000","Luckytown","2000","101",NA,"4.7","257","R","0","0","0","1","0","0","0"
"Luminarias 2000","Luminarias","2000","100","1000000","2.7","381","R","0","0","1","0","0","1","0"
"Lunes al sol, Los 2002","Lunes al sol, Los","2002","113","4000000","7.8","1466","R","0","0","0","1","0","0","0"
"Lured Innocence 1999","Lured Innocence","1999","93",NA,"4.4","115","R","0","0","0","0","0","0","0"
"Luther 2003","Luther","2003","121",NA,"7.1","1567","PG-13","0","0","0","1","0","0","0"
"Luzhin Defence, The 2000","Luzhin Defence, The","2000","109",NA,"7.0","1371","PG-13","0","0","0","1","0","1","0"
"Lying In Wait 2000","Lying In Wait","2000","90",NA,"4.4","103","R","0","0","0","1","0","0","0"
"MVP: Most Valuable Primate 2000","MVP: Most Valuable Primate","2000","93",NA,"4.8","196","PG","0","0","1","0","0","0","0"
"Ma femme est une actrice 2001","Ma femme est une actrice","2001","93",NA,"6.7","915","R","0","0","1","1","0","0","0"
"Mad About Mambo 2000","Mad About Mambo","2000","92",NA,"5.7","332","PG-13","0","0","1","0","0","1","0"
"Made 2001","Made","2001","94","5000000","6.5","4487","R","0","0","1","1","0","0","0"
"Made Men 1999","Made Men","1999","94",NA,"5.7","457","R","1","0","1","0","0","0","0"
"Madhouse 2004","Madhouse","2004","91","3000000","5.4","389","R","0","0","0","0","0","0","0"
"Madison 2001","Madison","2001","94",NA,"5.8","107","PG","0","0","0","1","0","0","0"
"Magdalene Sisters, The 2002","Magdalene Sisters, The","2002","119",NA,"8.0","4350","R","0","0","0","1","0","0","0"
"Magnolia 1999","Magnolia","1999","188","37000000","8.0","45992","R","0","0","0","1","0","0","0"
"Maid in Manhattan 2002","Maid in Manhattan","2002","105","55000000","4.6","12237","PG-13","0","0","1","0","0","1","0"
"Majestic, The 2001","Majestic, The","2001","156","72000000","6.7","8649","PG","0","0","0","1","0","1","0"
"Malibu's Most Wanted 2003","Malibu's Most Wanted","2003","86","16000000","4.9","2099","PG-13","0","0","1","0","0","0","0"
"Mambo italiano 2003","Mambo italiano","2003","92",NA,"6.6","1229","R","0","0","1","0","0","0","0"
"Man Apart, A 2003","Man Apart, A","2003","110","36000000","5.4","4231","R","1","0","0","1","0","0","0"
"Man Who Cried, The 2000","Man Who Cried, The","2000","97",NA,"5.9","2313","R","0","0","0","1","0","0","0"
"Man Who Wasn't There, The 2001","Man Who Wasn't There, The","2001","118","20000000","7.7","17028","R","0","0","1","1","0","0","0"
"Man from Elysian Fields, The 2001","Man from Elysian Fields, The","2001","106","6500000","6.8","1198","R","0","0","0","1","0","0","0"
"Man of the Century 1999","Man of the Century","1999","77",NA,"6.7","359","R","0","0","1","0","0","0","0"
"Man of the House 2005","Man of the House","2005","97","40000000","5.2","511","PG-13","1","0","1","0","0","0","0"
"Man on Fire 2004","Man on Fire","2004","146","70000000","7.4","14358","R","1","0","0","1","0","0","0"
"Man on the Moon 1999","Man on the Moon","1999","118","52000000","7.3","19826","R","0","0","1","1","0","0","0"
"Man-Thing 2005","Man-Thing","2005","96","30000000","3.8","163","R","1","0","0","0","0","0","0"
"Manchurian Candidate, The 2004","Manchurian Candidate, The","2004","129",NA,"6.7","9896","R","0","0","0","0","0","0","0"
"Manic 2001","Manic","2001","100",NA,"7.4","427","R","0","0","0","1","0","0","0"
"Manna From Heaven 2002","Manna From Heaven","2002","119",NA,"5.9","188","PG","0","0","1","0","0","0","0"
"Mansfield Park 1999","Mansfield Park","1999","112",NA,"7.2","2868","PG-13","0","0","1","1","0","0","0"
"Manson Family, The 2003","Manson Family, The","2003","95",NA,"5.1","244","R","0","0","0","1","0","0","0"
"Map of the World, A 1999","Map of the World, A","1999","125",NA,"6.5","1194","R","0","0","0","1","0","0","0"
"Maquinista, El 2004","Maquinista, El","2004","102","5000000","7.7","4322","R","0","0","0","1","0","0","0"
"Marci X 2003","Marci X","2003","80","20000000","2.8","741","R","0","0","1","0","0","0","0"
"Maria Full of Grace 2004","Maria Full of Grace","2004","101",NA,"7.7","4131","R","0","0","0","1","0","0","0"
"Martin Lawrence Live: Runteldat 2002","Martin Lawrence Live: Runteldat","2002","113","3000000","4.6","504","R","0","0","1","0","1","0","0"
"Masked and Anonymous 2003","Masked and Anonymous","2003","112",NA,"4.9","773","PG-13","0","0","1","1","0","0","0"
"Master and Commander: The Far Side of the World 2003","Master and Commander: The Far Side of the World","2003","138","150000000","7.5","21328","PG-13","1","0","0","1","0","0","0"
"Master of Disguise, The 2002","Master of Disguise, The","2002","80","16000000","2.9","3903","PG","0","0","1","0","0","0","0"
"Match, The 1999","Match, The","1999","95",NA,"5.7","327","PG-13","0","0","1","0","0","1","0"
"Matchstick Men 2003","Matchstick Men","2003","120",NA,"7.4","13684","PG-13","0","0","1","1","0","0","0"
"Mating Habits of the Earthbound Human, The 1999","Mating Habits of the Earthbound Human, The","1999","90",NA,"6.4","1266","R","0","0","1","0","0","0","0"
"Matrix Reloaded, The 2003","Matrix Reloaded, The","2003","138","127000000","7.1","57225","R","1","0","0","0","0","0","0"
"Matrix Revolutions, The 2003","Matrix Revolutions, The","2003","125","110000000","6.3","40058","R","1","0","0","0","0","0","0"
"Matrix, The 1999","Matrix, The","1999","136","63000000","8.5","143853","R","1","0","0","0","0","0","0"
"Max Keeble's Big Move 2001","Max Keeble's Big Move","2001","86","12000000","5.3","587","PG","0","0","1","0","0","0","0"
"May 2002","May","2002","93","1700000","6.8","3324","R","0","0","0","1","0","0","0"
"Maybe Baby 2000","Maybe Baby","2000","96",NA,"5.7","1017","R","0","0","1","0","0","1","0"
"Mayor of the Sunset Strip 2003","Mayor of the Sunset Strip","2003","94",NA,"7.5","319","R","0","0","0","0","1","0","0"
"Maze 2000","Maze","2000","97",NA,"6.4","266","R","0","0","0","0","0","1","0"
"Me Myself I 1999","Me Myself I","1999","100",NA,"6.7","964","R","0","0","1","0","0","0","0"
"Me Without You 2001","Me Without You","2001","107",NA,"6.6","678","R","0","0","0","1","0","0","0"
"Me and Will 1999","Me and Will","1999","101",NA,"5.3","106","R","0","0","0","1","0","0","0"
"Me and You and Everyone We Know 2005","Me and You and Everyone We Know","2005","90",NA,"5.7","103","R","0","0","0","1","0","0","0"
"Me, Myself & Irene 2000","Me, Myself & Irene","2000","116","51000000","6.0","21305","R","0","0","1","0","0","0","0"
"Mean Creek 2004","Mean Creek","2004","89","500000","7.3","2094","R","0","0","0","1","0","0","0"
"Mean Girls 2004","Mean Girls","2004","97","17000000","7.0","11591","PG-13","0","0","1","1","0","0","0"
"Mean Machine 2001","Mean Machine","2001","101",NA,"6.1","2812","R","0","0","1","1","0","0","0"
"Medallion, The 2003","Medallion, The","2003","88","41000000","4.5","2765","PG-13","1","0","1","0","0","0","0"
"Meet Prince Charming 1999","Meet Prince Charming","1999","94",NA,"4.7","174","R","0","0","0","0","0","1","0"
"Meet the Fockers 2004","Meet the Fockers","2004","115","80000000","6.5","11950","PG-13","0","0","1","0","0","0","0"
"Meet the Parents 2000","Meet the Parents","2000","108","55000000","7.0","30804","PG-13","0","0","1","0","0","0","0"
"Megalodon 2004","Megalodon","2004","90",NA,"3.5","227","PG-13","0","0","0","0","0","0","0"
"Megiddo: The Omega Code 2 2001","Megiddo: The Omega Code 2","2001","104","22000000","3.8","729","PG-13","0","0","0","0","0","0","0"
"Melinda and Melinda 2004","Melinda and Melinda","2004","100",NA,"6.8","1567","PG-13","0","0","1","1","0","0","0"
"Melvin Goes to Dinner 2003","Melvin Goes to Dinner","2003","83",NA,"7.3","595","R","0","0","1","1","0","0","0"
"Memento 2000","Memento","2000","113","5000000","8.7","90317","R","0","0","0","1","0","0","0"
"Men in Black II 2002","Men in Black II","2002","88","140000000","5.6","21580","PG-13","1","0","1","0","0","0","0"
"Men of Honor 2000","Men of Honor","2000","129","32000000","6.6","9684","R","0","0","0","1","0","0","0"
"Men with Brooms 2002","Men with Brooms","2002","102","7500000","5.9","1096","R","0","0","1","1","0","1","0"
"Mentale, La 2002","Mentale, La","2002","106",NA,"5.2","175","R","1","0","0","1","0","0","0"
"Merchant of Venice, The 2004","Merchant of Venice, The","2004","138","30000000","7.3","1400","R","0","0","1","1","0","0","0"
"Mercy 2000","Mercy","2000","94",NA,"5.2","617","R","0","0","0","0","0","0","0"
"Mercy Streets 2000","Mercy Streets","2000","106","600000","4.6","149","PG-13","1","0","0","1","0","0","0"
"Message in a Bottle 1999","Message in a Bottle","1999","126","30000000","5.4","5582","PG-13","0","0","0","1","0","1","0"
"Messenger: The Story of Joan of Arc, The 1999","Messenger: The Story of Joan of Arc, The","1999","148",NA,"6.2","10476","R","0","0","0","1","0","0","0"
"Metoroporisu 2001","Metoroporisu","2001","107","14500000","7.3","3380","PG-13","1","1","0","1","0","1","0"
"Mexican, The 2001","Mexican, The","2001","123","38000000","6.0","13935","R","0","0","1","0","0","1","0"
"Mi Casa, Su Casa 2003","Mi Casa, Su Casa","2003","94",NA,"5.1","105","PG","0","0","1","0","0","0","0"
"Michael Moore Hates America 2004","Michael Moore Hates America","2004","125","200000","4.2","629","R","0","0","0","0","1","0","0"
"Mickey Blue Eyes 1999","Mickey Blue Eyes","1999","102","40000000","5.8","7247","PG-13","0","0","1","0","0","1","0"
"Midsummer Night's Dream, A 1999","Midsummer Night's Dream, A","1999","116",NA,"6.3","4987","PG-13","0","0","1","0","0","1","0"
"Mifunes sidste sang 1999","Mifunes sidste sang","1999","98",NA,"7.1","2696","R","0","0","1","1","0","1","0"
"Mighty Wind, A 2003","Mighty Wind, A","2003","91",NA,"7.3","5941","PG-13","0","0","1","0","0","0","0"
"Militia 2000","Militia","2000","89",NA,"3.6","162","R","1","0","0","0","0","0","0"
"Million Dollar Baby 2004","Million Dollar Baby","2004","132","30000000","8.3","20195","PG-13","0","0","0","1","0","0","0"
"Million Dollar Hotel, The 2000","Million Dollar Hotel, The","2000","122","8000000","5.5","4746","R","0","0","0","1","0","0","0"
"Millions 2004","Millions","2004","98",NA,"7.9","938","PG-13","0","0","1","1","0","0","0"
"Mindhunters 2004","Mindhunters","2004","102","27000000","6.3","3925","R","1","0","0","0","0","0","0"
"Mindstorm 2001","Mindstorm","2001","97",NA,"4.2","128","R","1","0","0","0","0","0","0"
"Minority Report 2002","Minority Report","2002","145","102000000","7.8","51199","PG-13","1","0","0","1","0","0","0"
"Minus Man, The 1999","Minus Man, The","1999","111",NA,"6.2","1921","R","0","0","0","1","0","0","0"
"Mio viaggio in Italia, Il 1999","Mio viaggio in Italia, Il","1999","246",NA,"8.2","360","PG-13","0","0","0","0","1","0","0"
"Miracle 2004","Miracle","2004","135",NA,"7.7","5785","PG","0","0","0","1","0","0","0"
"Miranda 2002","Miranda","2002","90",NA,"5.7","443","R","0","0","0","0","0","1","0"
"Miss Congeniality 2000","Miss Congeniality","2000","109","45000000","6.2","16235","PG-13","0","0","1","0","0","0","0"
"Miss Congeniality 2: Armed and Fabulous 2005","Miss Congeniality 2: Armed and Fabulous","2005","115",NA,"5.0","1555","PG-13","0","0","1","0","0","0","0"
"Miss Julie 1999","Miss Julie","1999","103",NA,"6.0","380","R","0","0","0","1","0","0","0"
"Mission Kashmir 2000","Mission Kashmir","2000","160",NA,"7.2","289","R","0","0","0","1","0","0","0"
"Mission: Impossible II 2000","Mission: Impossible II","2000","123","125000000","5.7","35958","PG-13","1","0","0","0","0","0","0"
"Mod Squad, The 1999","Mod Squad, The","1999","92",NA,"3.9","2969","R","1","0","0","0","0","0","0"
"Modigliani 2004","Modigliani","2004","128","12000000","7.0","155","R","0","0","0","1","0","0","0"
"Molly 1999","Molly","1999","102","21000000","5.5","610","PG-13","0","0","1","1","0","1","0"
"Molokai: The Story of Father Damien 1999","Molokai: The Story of Father Damien","1999","113",NA,"6.1","250","PG","0","0","0","1","0","0","0"
"Mona Lisa Smile 2003","Mona Lisa Smile","2003","117","65000000","6.1","6838","PG-13","0","0","1","1","0","1","0"
"Mondovino 2004","Mondovino","2004","159",NA,"7.2","135","PG-13","0","0","0","0","1","0","0"
"Monkey's Mask, The 2000","Monkey's Mask, The","2000","94",NA,"5.5","305","R","0","0","0","1","0","0","0"
"Monkeybone 2001","Monkeybone","2001","92","75000000","4.7","3112","PG-13","0","1","1","0","0","0","0"
"Monsieur Ibrahim et les fleurs du Coran 2003","Monsieur Ibrahim et les fleurs du Coran","2003","96",NA,"7.4","1247","R","0","0","0","1","0","0","0"
"Monsoon Wedding 2001","Monsoon Wedding","2001","114",NA,"7.4","5241","R","0","0","0","1","0","1","0"
"Monster 2003","Monster","2003","109","8000000","7.4","12306","R","0","0","0","1","0","0","0"
"Monster's Ball 2001","Monster's Ball","2001","112","4000000","7.3","15037","R","0","0","0","1","0","1","0"
"Monster-in-Law 2005","Monster-in-Law","2005","102","60000000","5.6","147","PG-13","0","0","1","0","0","1","0"
"Moonlight Mile 2002","Moonlight Mile","2002","117","20000000","6.9","3479","PG-13","0","0","0","1","0","1","0"
"More Dogs Than Bones 2000","More Dogs Than Bones","2000","99",NA,"4.8","101","R","0","0","1","1","0","0","0"
"Morgan's Ferry 1999","Morgan's Ferry","1999","91",NA,"6.0","223","PG-13","0","0","0","0","0","0","0"
"Morvern Callar 2002","Morvern Callar","2002","97",NA,"6.3","1580","R","0","0","0","1","0","0","0"
"Mothman Prophecies, The 2002","Mothman Prophecies, The","2002","119","42000000","6.5","11073","PG-13","0","0","0","0","0","0","0"
"Motives 2004","Motives","2004","87",NA,"4.5","135","R","0","0","0","1","0","0","0"
"Moulin Rouge! 2001","Moulin Rouge!","2001","127","52500000","7.7","47689","PG-13","0","0","0","1","0","1","0"
"Mr 3000 2004","Mr 3000","2004","104","30000000","5.7","1459","PG-13","0","0","1","1","0","0","0"
"Mr. Accident 2000","Mr. Accident","2000","88",NA,"3.8","213","PG-13","0","0","1","0","0","0","0"
"Mr. Bones 2001","Mr. Bones","2001","101",NA,"3.0","304","PG","0","0","1","0","0","0","0"
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. 1999","Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.","1999","91",NA,"7.3","1181","PG-13","0","0","0","0","1","0","0"
"Mr. Deeds 2002","Mr. Deeds","2002","96","50000000","5.5","11729","PG-13","0","0","1","0","0","1","0"
"Mr. Rice's Secret 2000","Mr. Rice's Secret","2000","113",NA,"5.6","157","PG","0","0","0","1","0","0","0"
"Mua he chieu thang dung 2000","Mua he chieu thang dung","2000","112",NA,"7.0","1021","PG-13","0","0","0","1","0","0","0"
"Mudge Boy, The 2003","Mudge Boy, The","2003","94","800000","6.8","204","R","0","0","0","1","0","0","0"
"Muertos de risa 1999","Muertos de risa","1999","111","3500000","6.3","334","R","0","0","1","0","0","0","0"
"Mulholland Dr. 2001","Mulholland Dr.","2001","147","15000000","7.9","35504","R","0","0","0","1","0","0","0"
"Mumford 1999","Mumford","1999","112","28000000","6.9","3384","R","0","0","1","1","0","0","0"
"Mummy Returns, The 2001","Mummy Returns, The","2001","130","98000000","6.1","23551","PG-13","1","0","0","0","0","0","0"
"Mummy, The 1999","Mummy, The","1999","124","76000000","6.5","36216","PG-13","1","0","1","0","0","0","0"
"Murder by Numbers 2002","Murder by Numbers","2002","120","50000000","6.0","8358","R","0","0","0","0","0","0","0"
"Murdercycle 1999","Murdercycle","1999","90",NA,"2.3","122","PG-13","1","0","0","0","0","0","0"
"Muse, The 1999","Muse, The","1999","97","15000000","5.6","3513","PG-13","0","0","1","0","0","0","0"
"Music of the Heart 1999","Music of the Heart","1999","124","27000000","6.6","2348","PG","0","0","0","1","0","0","0"
"Musketeer, The 2001","Musketeer, The","2001","104","40000000","4.4","3966","PG-13","1","0","0","1","0","1","0"
"Mutant Aliens 2001","Mutant Aliens","2001","81","200000","6.4","223","R","0","1","1","0","0","0","0"
"My 5 Wives 2000","My 5 Wives","2000","100",NA,"4.4","245","R","0","0","1","0","0","0","0"
"My Baby's Daddy 2004","My Baby's Daddy","2004","88",NA,"3.8","632","PG-13","0","0","1","0","0","0","0"
"My Big Fat Greek Wedding 2002","My Big Fat Greek Wedding","2002","95","5000000","6.9","21675","PG","0","0","1","0","0","1","0"
"My Boss's Daughter 2003","My Boss's Daughter","2003","90","14000000","4.1","2765","R","0","0","1","0","0","1","0"
"My Brother the Pig 1999","My Brother the Pig","1999","92",NA,"5.0","108","PG","0","0","1","0","0","0","0"
"My Dog Skip 2000","My Dog Skip","2000","95","7000000","7.1","3109","PG","0","0","0","1","0","0","0"
"My Favorite Martian 1999","My Favorite Martian","1999","93","60000000","4.5","1942","PG","0","0","1","0","0","0","0"
"My First Mister 2001","My First Mister","2001","109",NA,"7.2","1593","R","0","0","1","1","0","0","0"
"My Life So Far 1999","My Life So Far","1999","98",NA,"6.6","665","PG-13","0","0","1","1","0","0","0"
"My Life Without Me 2003","My Life Without Me","2003","107",NA,"7.6","3017","R","0","0","0","1","0","1","0"
"My Little Eye 2002","My Little Eye","2002","92","3000000","5.9","2244","R","0","0","0","0","0","0","0"
"My Name Is Modesty: A Modesty Blaise Adventure 2003","My Name Is Modesty: A Modesty Blaise Adventure","2003","78",NA,"4.3","203","R","0","0","0","1","0","0","0"
"My Summer of Love 2004","My Summer of Love","2004","86",NA,"7.3","222","R","0","0","0","1","0","0","0"
"Mystery Men 1999","Mystery Men","1999","121","68000000","5.8","13331","PG-13","1","0","1","0","0","0","0"
"Mystery, Alaska 1999","Mystery, Alaska","1999","119","28000000","6.4","5440","R","0","0","1","1","0","0","0"
"Mystic Masseur, The 2001","Mystic Masseur, The","2001","117","2500000","5.2","157","PG","0","0","0","1","0","0","0"
"Mystic River 2003","Mystic River","2003","137","30000000","8.0","28969","R","0","0","0","1","0","0","0"
"NASCAR 3D: The IMAX Experience 2004","NASCAR 3D: The IMAX Experience","2004","40",NA,"7.0","167","PG","0","0","0","0","1","0","1"
"Nadie conoce a nadie 1999","Nadie conoce a nadie","1999","108","3000000","6.3","565","R","0","0","0","0","0","0","0"
"Nailed 2001","Nailed","2001","90",NA,"4.2","110","R","0","0","0","1","0","1","0"
"Naked States 2000","Naked States","2000","80",NA,"6.6","151","R","0","0","0","0","1","0","0"
"Napoleon Dynamite 2004","Napoleon Dynamite","2004","86","400000","7.2","17524","PG","0","0","1","0","0","0","0"
"Naqoyqatsi 2002","Naqoyqatsi","2002","89","3000000","6.9","575","PG","0","0","0","0","1","0","0"
"Narc 2002","Narc","2002","105","7500000","7.3","7185","R","0","0","0","1","0","0","0"
"National Lampoon Presents Dorm Daze 2003","National Lampoon Presents Dorm Daze","2003","96",NA,"4.2","803","R","0","0","1","0","0","0","0"
"National Security 2003","National Security","2003","88",NA,"4.6","3762","PG-13","1","0","1","0","0","0","0"
"National Treasure 2004","National Treasure","2004","131","100000000","6.6","12361","PG","1","0","0","0","0","0","0"
"Navigators, The 2001","Navigators, The","2001","96",NA,"6.8","591","R","0","0","1","1","0","0","0"
"Ned Kelly 2003","Ned Kelly","2003","110",NA,"6.3","2208","R","0","0","0","1","0","0","0"
"Nemesis Game 2003","Nemesis Game","2003","92","3000000","5.5","339","R","0","0","0","0","0","0","0"
"Never Again 2001","Never Again","2001","98","500000","5.7","309","R","0","0","1","0","0","1","0"
"Never Been Kissed 1999","Never Been Kissed","1999","107",NA,"5.7","10767","PG-13","0","0","1","0","0","1","0"
"Never Die Alone 2004","Never Die Alone","2004","88",NA,"5.1","845","R","0","0","0","1","0","0","0"
"New Alcatraz 2002","New Alcatraz","2002","96",NA,"3.3","268","R","0","0","0","0","0","0","0"
"New Best Friend 2002","New Best Friend","2002","91",NA,"5.2","730","R","0","0","0","1","0","0","0"
"New Blood 1999","New Blood","1999","98",NA,"5.3","282","R","1","0","0","0","0","0","0"
"New Guy, The 2002","New Guy, The","2002","89","13000000","5.2","4266","PG-13","0","0","1","0","0","0","0"
"New Port South 2001","New Port South","2001","95",NA,"5.0","123","PG-13","0","0","0","1","0","0","0"
"New World Disorder 1999","New World Disorder","1999","92",NA,"4.1","305","R","1","0","0","0","0","0","0"
"Next Best Thing, The 2000","Next Best Thing, The","2000","108","25000000","4.7","3131","PG-13","0","0","1","1","0","0","0"
